County Name,Observation Count,Arithmetic Mean,Arithmetic Standard Dev
Fresno,118,0.009585,0.008136
Fresno,112,0.001286,0.00206
Fresno,118,0.000822,0.002099
Fresno,112,0.288161,0.142998
Fresno,118,0.289186,0.158521
Fresno,112,0.000107,0.000338
Fresno,118,0.000466,0.001871
Fresno,112,0.112268,0.103127
Fresno,118,0.103839,0.094148
Fresno,112,0.153964,0.154523
Fresno,118,0.092746,0.14857
Fresno,112,0.002527,0.002189
Fresno,118,0.003034,0.00814
Fresno,114,0.14033,0.137049
Fresno,119,0.142826,0.135582
Fresno,119,0.495714,0.777274
Fresno,119,0.07479,0.101563
Fresno,114,1.922096,2.650793
Fresno,119,1.98,2.624557
Fresno,114,2.546579,1.784259
Fresno,111,3.237405,2.22696
Fresno,114,0.579912,0.605093
Fresno,111,0.831189,0.82015
Fresno,114,0.215816,0.264682
Fresno,111,0.168342,0.273622
Fresno,114,0.571211,0.431966
Fresno,111,0.991207,0.691414
Fresno,114,0.957789,0.657525
Fresno,111,1.137279,0.813167
Fresno,114,0.581465,0.413836
Fresno,111,0.361541,0.178821
Fresno,114,0.220009,0.165772
Fresno,111,0.582523,0.477711
Fresno,114,0.740868,0.605826
Fresno,111,1.237306,1.121997
Fresno,114,0.059254,0.030997
Fresno,111,0.16555,0.10118
Fresno,114,0.0,0.0
Fresno,111,0.011532,0.008532
Fresno,114,0.010257,0.01611
Fresno,112,1.188567,0.589953
Fresno,114,2.479479,3.419491
Fresno,112,1.665831,1.601136
Fresno,117,0.933238,0.582892
Fresno,114,4.5833,3.212498
Fresno,111,3.633441,2.429222
Fresno,111,0.571153,0.586431
Fresno,111,3.37345,2.221013
Fresno,111,0.186568,0.274554
Fresno,111,1.02536,0.69046
Fresno,111,1.190018,0.810798
Fresno,111,0.378369,0.177142
Fresno,111,0.593216,0.476289
Fresno,111,0.842486,0.669595
Fresno,111,0.831171,0.82016
Fresno,111,0.571153,0.586431
Fresno,111,3.497351,2.435066
Fresno,111,1.239894,1.121912
Fresno,111,0.17228,0.100766
Fresno,111,0.012183,0.008564
Fresno,111,0.853153,0.668581
Fresno,109,10.154955,7.196942
Fresno,114,0.781763,0.401847
Fresno,119,0.808571,0.436801
Fresno,112,10.616071,8.363838
Fresno,8586,6.469835,4.876921
Fresno,8586,6.469835,4.876921
Fresno,8561,6.575984,5.66256
Fresno,360,6.494167,4.364039
Fresno,8618,4.846333,5.608286
Fresno,8603,12.490062,10.554758
Fresno,8627,8.652127,7.641244
Fresno,8633,12.735109,11.039722
Fresno,3,0.0,0.0
Fresno,3,0.010333,0.012858
Fresno,3,0.0,0.0
Fresno,3,0.006333,0.006658
Fresno,3,0.0,0.0
Fresno,3,0.0,0.0
Fresno,3,0.005333,0.009238
Fresno,3,0.005667,0.006429
Fresno,3,0.0,0.0
Fresno,3,0.0,0.0
Fresno,3,0.0,0.0
Fresno,3,0.002333,0.001155
Fresno,3,0.0,0.0
Fresno,3,0.0,0.0
Fresno,3,0.000333,0.000577
Fresno,3,0.0,0.0
Fresno,3,0.023333,0.028729
Fresno,3,0.0,0.0
Fresno,3,0.0,0.0
Fresno,3,0.031,0.011136
Fresno,3,0.0,0.0
Fresno,3,0.005333,0.004163
Fresno,3,0.001667,0.002517
Fresno,3,0.000333,0.000577
Fresno,5,0.011344,0.011911
Fresno,5,0.0256,0.022678
Fresno,3,0.066667,0.063509
Fresno,3,0.033333,0.005774
Fresno,3,0.0,0.004583
Fresno,3,0.005,0.007211
Fresno,3,0.027667,0.018717
Fresno,3,0.019333,0.020257
Fresno,3,0.020333,0.025541
Fresno,3,0.022333,0.020648
Fresno,3,0.030333,0.008327
Fresno,3,0.0,0.0
Fresno,5,0.007338,0.018045
Fresno,3,0.12724,0.046426
Fresno,5,0.033,0.029276
Fresno,3,0.105093,0.129242
Fresno,3,0.117543,0.121028
Fresno,5,0.0662,0.039404
Fresno,3,0.6,0.2
Glenn,8524,6.70847,6.454296
Glenn,355,6.650704,4.31843
Humboldt,3456,15.630498,35.325295
Humboldt,3456,15.630498,35.325295
Humboldt,111,9.094595,10.597322
Humboldt,8243,9.255975,29.285696
Humboldt,342,9.211696,22.886391
