County Name,Observation Count,PM2.5 Mean,Arithmetic Standard Dev,Race Group,Percent Low Birthweight,PM2.5 Category
Del Norte,116,0.080517,0.17454,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.080517,0.17454,White,6.205,Healthy
Del Norte,116,0.059474,0.381619,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.059474,0.381619,White,6.205,Healthy
Del Norte,116,0.228224,0.775064,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.228224,0.775064,White,6.205,Healthy
Del Norte,116,0.352595,0.601917,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.352595,0.601917,White,6.205,Healthy
Del Norte,116,0.196103,0.27922,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.196103,0.27922,White,6.205,Healthy
Del Norte,116,0.140612,0.326603,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.140612,0.326603,White,6.205,Healthy
Del Norte,116,0.203716,0.479716,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.203716,0.479716,White,6.205,Healthy
Del Norte,116,0.017836,0.025814,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.017836,0.025814,White,6.205,Healthy
Del Norte,116,0.0,0.0,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.0,0.0,White,6.205,Healthy
Del Norte,116,0.0,0.003446,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.0,0.003446,White,6.205,Healthy
Del Norte,115,0.546208,0.378438,Non-White,2.8938461538461535,Healthy
Del Norte,115,0.546208,0.378438,White,6.205,Healthy
Del Norte,116,0.173593,0.159808,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.173593,0.159808,White,6.205,Healthy
Del Norte,115,0.107252,0.116466,Non-White,2.8938461538461535,Healthy
Del Norte,115,0.107252,0.116466,White,6.205,Healthy
Del Norte,116,1.758445,4.09893,Non-White,2.8938461538461535,Healthy
Del Norte,116,1.758445,4.09893,White,6.205,Healthy
Del Norte,116,0.391457,0.282163,Non-White,2.8938461538461535,Healthy
Del Norte,116,0.391457,0.282163,White,6.205,Healthy
Del Norte,115,4.35913,6.251104,Non-White,2.8938461538461535,Healthy
Del Norte,115,4.35913,6.251104,White,6.205,Healthy
Del Norte,7443,7.764611,19.578849,Non-White,2.8938461538461535,Healthy
Del Norte,7443,7.764611,19.578849,White,6.205,Healthy
Del Norte,306,7.74085,9.473746,Non-White,2.8938461538461535,Healthy
Del Norte,306,7.74085,9.473746,White,6.205,Healthy
Del Norte,7793,11.012319,14.423588,Non-White,2.8938461538461535,Unhealthy
Del Norte,7793,11.012319,14.423588,White,6.205,Unhealthy
Del Norte,323,10.988235,8.118022,Non-White,2.8938461538461535,Unhealthy
Del Norte,323,10.988235,8.118022,White,6.205,Unhealthy
El Dorado,118,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.0,0.0,White,5.645,Healthy
El Dorado,118,0.050958,0.045458,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.050958,0.045458,White,5.645,Healthy
El Dorado,118,0.001102,0.000744,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.001102,0.000744,White,5.645,Healthy
El Dorado,118,0.033102,0.062073,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.033102,0.062073,White,5.645,Healthy
El Dorado,118,8e-06,9.2e-05,Non-White,5.2423076923076914,Healthy
El Dorado,118,8e-06,9.2e-05,White,5.645,Healthy
El Dorado,118,0.000517,0.00113,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.000517,0.00113,White,5.645,Healthy
El Dorado,118,0.003,0.005669,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.003,0.005669,White,5.645,Healthy
El Dorado,118,0.040627,0.034226,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.040627,0.034226,White,5.645,Healthy
El Dorado,118,0.00022,0.000416,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.00022,0.000416,White,5.645,Healthy
El Dorado,118,0.000915,0.000873,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.000915,0.000873,White,5.645,Healthy
El Dorado,118,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.0,0.0,White,5.645,Healthy
El Dorado,118,0.013076,0.013306,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.013076,0.013306,White,5.645,Healthy
El Dorado,118,0.000568,0.000779,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.000568,0.000779,White,5.645,Healthy
El Dorado,118,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.0,0.0,White,5.645,Healthy
El Dorado,118,0.003534,0.002858,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.003534,0.002858,White,5.645,Healthy
El Dorado,118,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.0,0.0,White,5.645,Healthy
El Dorado,118,0.122653,0.112099,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.122653,0.112099,White,5.645,Healthy
El Dorado,118,0.001805,0.00328,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.001805,0.00328,White,5.645,Healthy
El Dorado,118,0.000347,0.001172,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.000347,0.001172,White,5.645,Healthy
El Dorado,118,0.13272,0.101221,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.13272,0.101221,White,5.645,Healthy
El Dorado,118,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.0,0.0,White,5.645,Healthy
El Dorado,118,0.036364,0.040109,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.036364,0.040109,White,5.645,Healthy
El Dorado,118,0.032195,0.033774,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.032195,0.033774,White,5.645,Healthy
El Dorado,118,0.000203,0.000648,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.000203,0.000648,White,5.645,Healthy
El Dorado,118,0.038206,0.041352,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.038206,0.041352,White,5.645,Healthy
El Dorado,118,0.171508,0.16011,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.171508,0.16011,White,5.645,Healthy
El Dorado,118,1.449153,1.149416,Non-White,5.2423076923076914,Healthy
El Dorado,118,1.449153,1.149416,White,5.645,Healthy
El Dorado,118,0.255593,0.214785,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.255593,0.214785,White,5.645,Healthy
El Dorado,118,0.154653,0.252031,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.154653,0.252031,White,5.645,Healthy
El Dorado,118,0.347805,0.33465,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.347805,0.33465,White,5.645,Healthy
El Dorado,118,0.482169,0.359273,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.482169,0.359273,White,5.645,Healthy
El Dorado,118,0.273661,0.202191,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.273661,0.202191,White,5.645,Healthy
El Dorado,118,0.191237,0.113352,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.191237,0.113352,White,5.645,Healthy
El Dorado,118,0.360288,0.252352,Non-White,5.2423076923076914,Healthy
El Dorado,118,0.360288,0.252352,White,5.645,Healthy
